feature,mean,std,min,max
game_control_share,0.7205442464616283,0.026632657634935906,0.7012136445959862,0.7597577650445966
on_ball_pressure_share,0.6772251372264961,0.07603090668902954,0.5827043680146773,0.7665871380262941
passes_into_box,0.6124526817046063,0.045592798534850446,0.546497504388843,0.6469036461038057
xt,0.5885975832354209,0.024286230572138707,0.5546052302546642,0.6106180821889431
field_tilt,0.5623546764106241,0.07921354592801838,0.45480485290610645,0.6451736314672696
possession,0.4762475590881023,0.08214387477381968,0.37191242830816956,0.5725518466046324
avg_pass_height,0.4366720532343429,0.049383910573151196,0.3673486891553322,0.47756445062835406
corners,0.4224741368429415,0.05484615053883526,0.3507419682327424,0.48321327579004225
ppda_inv,0.367878835537736,0.0579228149504061,0.2894738804237472,0.4241710448711855
crosses,0.3563158180130128,0.05231758337676537,0.2849263267075022,0.40860479066257294
off_ball_pressure_share,-0.35263503414523556,0.09516367000522927,-0.46302101380758875,-0.23174452435561965
set_piece_xg,0.34341490664419816,0.0640649269627406,0.2786058847888138,0.43004712852290033
high_recoveries,0.2688973757051365,0.06286813803311159,0.21922330923582609,0.3605965916286366
is_home,0.2361133533256519,0.07111874461062595,0.15230502868338586,0.30679280530755143
shots_per_1_0_xt,-0.036392198963540595,0.05806600333237398,-0.09847651662702812,0.027107449625806822
throw_ins_into_box,-0.018057906552336602,0.026817748906351798,-0.04762569277016906,0.005264637735730583
