season,target,feature,coef,abs_coef,alpha,n_rows
21-22,xgd,possession,0.030939287237875295,0.030939287237875295,2.6826957952797246,760
21-22,xgd,field_tilt,-0.8060607440959549,0.8060607440959549,2.6826957952797246,760
21-22,xgd,game_control_share,0.8238106243451684,0.8238106243451684,2.6826957952797246,760
21-22,xgd,ppda_inv,0.16663046332628573,0.16663046332628573,2.6826957952797246,760
21-22,xgd,high_recoveries,0.027554294030817814,0.027554294030817814,2.6826957952797246,760
21-22,xgd,on_ball_pressure_share,0.7836981576274662,0.7836981576274662,2.6826957952797246,760
21-22,xgd,off_ball_pressure_share,-0.292249043900898,0.292249043900898,2.6826957952797246,760
21-22,xgd,xt,0.28865395912060376,0.28865395912060376,2.6826957952797246,760
21-22,xgd,passes_into_box,0.1756980907833865,0.1756980907833865,2.6826957952797246,760
21-22,xgd,shots_per_1_0_xt,0.1200486910116326,0.1200486910116326,2.6826957952797246,760
21-22,xgd,avg_pass_height,-0.06497687207187738,0.06497687207187738,2.6826957952797246,760
21-22,xgd,crosses,-0.14782140659996643,0.14782140659996643,2.6826957952797246,760
21-22,xgd,set_piece_xg,0.12441130752603421,0.12441130752603421,2.6826957952797246,760
21-22,xgd,corners,0.033556748313895636,0.033556748313895636,2.6826957952797246,760
21-22,xgd,throw_ins_into_box,0.022771656801185047,0.022771656801185047,2.6826957952797246,760
21-22,xgd,is_home,0.08042064410036762,0.08042064410036762,2.6826957952797246,760
22-23,xgd,possession,0.10147113859625344,0.10147113859625344,0.001,760
22-23,xgd,field_tilt,-1.1341224522383937,1.1341224522383937,0.001,760
22-23,xgd,game_control_share,0.6362244778660839,0.6362244778660839,0.001,760
22-23,xgd,ppda_inv,0.09189397912983994,0.09189397912983994,0.001,760
22-23,xgd,high_recoveries,0.00047330738858704157,0.00047330738858704157,0.001,760
22-23,xgd,on_ball_pressure_share,1.2753815116346119,1.2753815116346119,0.001,760
22-23,xgd,off_ball_pressure_share,-0.1048954264345037,0.1048954264345037,0.001,760
22-23,xgd,xt,0.28451210181321923,0.28451210181321923,0.001,760
22-23,xgd,passes_into_box,0.08025215884738572,0.08025215884738572,0.001,760
22-23,xgd,shots_per_1_0_xt,0.02405087270283487,0.02405087270283487,0.001,760
22-23,xgd,avg_pass_height,-0.16789326929840967,0.16789326929840967,0.001,760
22-23,xgd,crosses,-0.1101700813183599,0.1101700813183599,0.001,760
22-23,xgd,set_piece_xg,0.0864097526788196,0.0864097526788196,0.001,760
22-23,xgd,corners,0.12695549612231502,0.12695549612231502,0.001,760
22-23,xgd,throw_ins_into_box,0.09367311115853377,0.09367311115853377,0.001,760
22-23,xgd,is_home,0.11913023928672954,0.11913023928672954,0.001,760
23-24,xgd,possession,0.12528111015812715,0.12528111015812715,2.6826957952797246,760
23-24,xgd,field_tilt,-1.1547204912831601,1.1547204912831601,2.6826957952797246,760
23-24,xgd,game_control_share,0.9971981181604995,0.9971981181604995,2.6826957952797246,760
23-24,xgd,ppda_inv,0.12170577103224071,0.12170577103224071,2.6826957952797246,760
23-24,xgd,high_recoveries,0.06809114893466842,0.06809114893466842,2.6826957952797246,760
23-24,xgd,on_ball_pressure_share,0.9910560110241978,0.9910560110241978,2.6826957952797246,760
23-24,xgd,off_ball_pressure_share,-0.3024894991399592,0.3024894991399592,2.6826957952797246,760
23-24,xgd,xt,0.45694325775814926,0.45694325775814926,2.6826957952797246,760
23-24,xgd,passes_into_box,0.009173311419635547,0.009173311419635547,2.6826957952797246,760
23-24,xgd,shots_per_1_0_xt,0.05444573694245735,0.05444573694245735,2.6826957952797246,760
23-24,xgd,avg_pass_height,-0.18987509849014253,0.18987509849014253,2.6826957952797246,760
23-24,xgd,crosses,-0.1634195648048925,0.1634195648048925,2.6826957952797246,760
23-24,xgd,set_piece_xg,0.18556896866191064,0.18556896866191064,2.6826957952797246,760
23-24,xgd,corners,0.012316345756947214,0.012316345756947214,2.6826957952797246,760
23-24,xgd,throw_ins_into_box,0.13222934003773681,0.13222934003773681,2.6826957952797246,760
23-24,xgd,is_home,0.14956258618704565,0.14956258618704565,2.6826957952797246,760
24-25,xgd,possession,0.07319549349956915,0.07319549349956915,6.25055192527397,760
24-25,xgd,field_tilt,-0.8126098062769989,0.8126098062769989,6.25055192527397,760
24-25,xgd,game_control_share,1.0788489981520113,1.0788489981520113,6.25055192527397,760
24-25,xgd,ppda_inv,0.11227564345149933,0.11227564345149933,6.25055192527397,760
24-25,xgd,high_recoveries,-0.01914481966029448,0.01914481966029448,6.25055192527397,760
24-25,xgd,on_ball_pressure_share,0.43865948159521356,0.43865948159521356,6.25055192527397,760
24-25,xgd,off_ball_pressure_share,-0.28641963338751436,0.28641963338751436,6.25055192527397,760
24-25,xgd,xt,0.38474209362468276,0.38474209362468276,6.25055192527397,760
24-25,xgd,passes_into_box,0.12083657195467726,0.12083657195467726,6.25055192527397,760
24-25,xgd,shots_per_1_0_xt,0.0692870146124823,0.0692870146124823,6.25055192527397,760
24-25,xgd,avg_pass_height,-0.12163761362895435,0.12163761362895435,6.25055192527397,760
24-25,xgd,crosses,-0.1735835459145307,0.1735835459145307,6.25055192527397,760
24-25,xgd,set_piece_xg,0.1756650385629342,0.1756650385629342,6.25055192527397,760
24-25,xgd,corners,0.05657121883582806,0.05657121883582806,6.25055192527397,760
24-25,xgd,throw_ins_into_box,0.04139211365569704,0.04139211365569704,6.25055192527397,760
24-25,xgd,is_home,0.025541217484903584,0.025541217484903584,6.25055192527397,760
