season,feature,pearson
21-22,possession,0.23301912157411664
21-22,field_tilt,0.2511308129233739
21-22,game_control_share,0.5340301054443609
21-22,ppda_inv,0.19716598871073268
21-22,high_recoveries,0.14262380516085618
21-22,on_ball_pressure_share,0.3363932917617274
21-22,off_ball_pressure_share,-0.1761650714480262
21-22,xt,0.22241591053775078
21-22,passes_into_box,0.24459691023185173
21-22,shots_per_1_0_xt,0.08812609890975807
21-22,avg_pass_height,0.20213215654929415
21-22,crosses,-0.05472417248800669
21-22,set_piece_xg,0.19178192699881946
21-22,corners,0.13757854194712843
21-22,throw_ins_into_box,-0.08633595255668236
21-22,is_home,0.10078106738011458
22-23,possession,0.10350097286116704
22-23,field_tilt,0.16270675120285485
22-23,game_control_share,0.509127004037731
22-23,ppda_inv,0.11792907699876992
22-23,high_recoveries,0.09252151524459677
22-23,on_ball_pressure_share,0.2310966940493701
22-23,off_ball_pressure_share,-0.03854516071476588
22-23,xt,0.1634158619366588
22-23,passes_into_box,0.21309091527149557
22-23,shots_per_1_0_xt,0.04700900316042253
22-23,avg_pass_height,0.13994531319013878
22-23,crosses,-0.09437848059541633
22-23,set_piece_xg,0.07412130702865605
22-23,corners,0.11997831697862295
22-23,throw_ins_into_box,-0.06516174835785472
22-23,is_home,0.22196312214466418
23-24,possession,0.2321598806866445
23-24,field_tilt,0.24037464795568356
23-24,game_control_share,0.5045086142088907
23-24,ppda_inv,0.2010697707895733
23-24,high_recoveries,0.17236535210975815
23-24,on_ball_pressure_share,0.3030890911613988
23-24,off_ball_pressure_share,-0.16694799578762368
23-24,xt,0.24566281624776687
23-24,passes_into_box,0.24757246031757346
23-24,shots_per_1_0_xt,0.003969789920464585
23-24,avg_pass_height,0.17786997459267073
23-24,crosses,-0.02306628311877016
23-24,set_piece_xg,0.10609789026622372
23-24,corners,0.1601617762924279
23-24,throw_ins_into_box,-0.09646834693519042
23-24,is_home,0.15270680665211786
24-25,possession,0.028563599341416945
24-25,field_tilt,0.10155973050016029
24-25,game_control_share,0.5172751144641013
24-25,ppda_inv,0.09296442810080192
24-25,high_recoveries,0.15064888013851965
24-25,on_ball_pressure_share,0.1675082907459822
24-25,off_ball_pressure_share,0.08106949994684069
24-25,xt,0.18734759912028734
24-25,passes_into_box,0.20497261348501078
24-25,shots_per_1_0_xt,0.016890152741865318
24-25,avg_pass_height,0.13804167429386102
24-25,crosses,-0.08725648005758739
24-25,set_piece_xg,0.1197722934161184
24-25,corners,0.09467117688808187
24-25,throw_ins_into_box,-0.03791418658309873
24-25,is_home,0.06871777157645902
