season,feature,spearman
21-22,possession,0.2277756726260419
21-22,field_tilt,0.24357154631580613
21-22,game_control_share,0.5388799457146976
21-22,ppda_inv,0.16925031455515135
21-22,high_recoveries,0.13528758245291134
21-22,on_ball_pressure_share,0.3407510638977158
21-22,off_ball_pressure_share,-0.17652284152790576
21-22,xt,0.2252520438953631
21-22,passes_into_box,0.26999465414809437
21-22,shots_per_1_0_xt,0.12703867890928086
21-22,avg_pass_height,0.19824886812187775
21-22,crosses,-0.0362285269400082
21-22,set_piece_xg,0.20921544780748066
21-22,corners,0.1350264486591948
21-22,throw_ins_into_box,-0.03998253946321539
21-22,is_home,0.10206943082747572
22-23,possession,0.10949280546091122
22-23,field_tilt,0.1585452843356625
22-23,game_control_share,0.5125655679768896
22-23,ppda_inv,0.07525666216402849
22-23,high_recoveries,0.09423963172863377
22-23,on_ball_pressure_share,0.2329104591067702
22-23,off_ball_pressure_share,-0.0308785191026627
22-23,xt,0.17994382626371563
22-23,passes_into_box,0.23843066982828845
22-23,shots_per_1_0_xt,0.09125068285380011
22-23,avg_pass_height,0.1523847113511942
22-23,crosses,-0.07522588882348782
22-23,set_piece_xg,0.08914691723396578
22-23,corners,0.12342532714579083
22-23,throw_ins_into_box,-0.043847942977658955
22-23,is_home,0.22476860744019692
23-24,possession,0.23411909247955717
23-24,field_tilt,0.24228543987775256
23-24,game_control_share,0.5076581257084354
23-24,ppda_inv,0.1950985090651213
23-24,high_recoveries,0.1696622072055681
23-24,on_ball_pressure_share,0.30688803623783717
23-24,off_ball_pressure_share,-0.16784230026420993
23-24,xt,0.27588557741031056
23-24,passes_into_box,0.28024675427594714
23-24,shots_per_1_0_xt,-0.007012962690622205
23-24,avg_pass_height,0.16334891687220301
23-24,crosses,0.013573499446567105
23-24,set_piece_xg,0.14496871835389458
23-24,corners,0.16575833752162086
23-24,throw_ins_into_box,-0.08794029767205339
23-24,is_home,0.1545266584338299
24-25,possession,0.022104226794893194
24-25,field_tilt,0.082867753062073
24-25,game_control_share,0.5217188961150299
24-25,ppda_inv,0.06362429408263649
24-25,high_recoveries,0.13715308789418626
24-25,on_ball_pressure_share,0.17220863021064356
24-25,off_ball_pressure_share,0.08059728599421262
24-25,xt,0.18426788341085368
24-25,passes_into_box,0.18969143702012636
24-25,shots_per_1_0_xt,0.028539762975922613
24-25,avg_pass_height,0.1147851680124517
24-25,crosses,-0.09299777318445489
24-25,set_piece_xg,0.1112626297097774
24-25,corners,0.07838354617797179
24-25,throw_ins_into_box,-0.03941764048954041
24-25,is_home,0.06964582533514033
