feature,pearson_r,spearman_rho
game_control_share,0.5162562907197601,0.5203365790783103
on_ball_pressure_share,0.26143164994180795,0.2645225068371927
passes_into_box,0.22695933825357245,0.24497395094891392
xt,0.2057676926576638,0.2177904432708167
field_tilt,0.19059017674580334,0.18268974695917287
avg_pass_height,0.1640259256608653,0.156987431875476
possession,0.15492279697865363,0.15368494052702775
set_piece_xg,0.12051541145157538,0.1383338324772496
is_home,0.13624397669391466,0.13797585633752657
ppda_inv,0.15654437347172198,0.12650919830074314
corners,0.12819432678819587,0.12632375336971743
high_recoveries,0.09990743822546848,0.1067720928512152
off_ball_pressure_share,-0.08217792193319731,-0.0822519063196948
shots_per_1_0_xt,0.03231956180158415,0.0597295660574719
throw_ins_into_box,-0.07146112136699881,-0.05355154695225497
crosses,-0.06434431105352972,-0.04703950525496995
