season,feature,pearson
21-22,possession,0.5850242415535821
21-22,field_tilt,0.6557460262739284
21-22,game_control_share,0.7575716236089972
21-22,ppda_inv,0.4582343903471858
21-22,high_recoveries,0.23046263913363063
21-22,on_ball_pressure_share,0.7582158541741386
21-22,off_ball_pressure_share,-0.46605425510160003
21-22,xt,0.5960599555773726
21-22,passes_into_box,0.6480012950789621
21-22,shots_per_1_0_xt,-0.0022001161729200886
21-22,avg_pass_height,0.5041669976141001
21-22,crosses,0.4014286664148444
21-22,set_piece_xg,0.4132493189275411
21-22,corners,0.4467258696628535
21-22,throw_ins_into_box,-0.012367615519743524
21-22,is_home,0.1962757968971709
22-23,possession,0.47137916404854974
22-23,field_tilt,0.5839390485414278
22-23,game_control_share,0.7016785872783627
22-23,ppda_inv,0.3591200217943831
22-23,high_recoveries,0.25315174741959234
22-23,on_ball_pressure_share,0.6890631582191566
22-23,off_ball_pressure_share,-0.34607651729998384
22-23,xt,0.5879231400079558
22-23,passes_into_box,0.6324240830460485
22-23,shots_per_1_0_xt,-0.027021058082025994
22-23,avg_pass_height,0.4647743226267141
22-23,crosses,0.3713410958059462
22-23,set_piece_xg,0.33907019049039
22-23,corners,0.4788116688774142
22-23,throw_ins_into_box,0.0041751086093865745
22-23,is_home,0.2887182513249806
23-24,possession,0.47893769962145377
23-24,field_tilt,0.5711526786871266
23-24,game_control_share,0.7190515870784654
23-24,ppda_inv,0.37488723674629154
23-24,high_recoveries,0.3664756768285363
23-24,on_ball_pressure_share,0.6636355764834267
23-24,off_ball_pressure_share,-0.36709085489603405
23-24,xt,0.5989535636582942
23-24,passes_into_box,0.5948966444779863
23-24,shots_per_1_0_xt,-0.029475620926502875
23-24,avg_pass_height,0.44980040313185443
23-24,crosses,0.347568670072473
23-24,set_piece_xg,0.2944402607432579
23-24,corners,0.40697282633097953
23-24,throw_ins_into_box,0.0053482983829052505
23-24,is_home,0.2974526060435724
24-25,possession,0.38109164156479786
24-25,field_tilt,0.4730712428818928
24-25,game_control_share,0.7038646147675219
24-25,ppda_inv,0.3100975022709735
24-25,high_recoveries,0.2403676940413554
24-25,on_ball_pressure_share,0.577204354946952
24-25,off_ball_pressure_share,-0.21670553874848253
24-25,xt,0.5539789736658671
24-25,passes_into_box,0.5549917860447093
24-25,shots_per_1_0_xt,0.04384522370629796
24-25,avg_pass_height,0.3988782084047782
24-25,crosses,0.2973047896972099
24-25,set_piece_xg,0.30872757336729584
24-25,corners,0.3759960510276546
24-25,throw_ins_into_box,-0.0324069041694842
24-25,is_home,0.11789774482956268
