season,feature,spearman
21-22,possession,0.5725518466046324
21-22,field_tilt,0.6451736314672696
21-22,game_control_share,0.7597577650445966
21-22,ppda_inv,0.4241710448711855
21-22,high_recoveries,0.21922330923582609
21-22,on_ball_pressure_share,0.7665871380262941
21-22,off_ball_pressure_share,-0.46302101380758875
21-22,xt,0.6106180821889431
21-22,passes_into_box,0.6469036461038057
21-22,shots_per_1_0_xt,0.027107449625806822
21-22,avg_pass_height,0.47756445062835406
21-22,crosses,0.40860479066257294
21-22,set_piece_xg,0.43004712852290033
21-22,corners,0.43600589661915834
21-22,throw_ins_into_box,0.0040367779790041105
21-22,is_home,0.20351132667726662
22-23,possession,0.47524970046242404
22-23,field_tilt,0.581524733910329
22-23,game_control_share,0.7012136445959862
22-23,ppda_inv,0.3630524993660714
22-23,high_recoveries,0.2548809665473184
22-23,on_ball_pressure_share,0.6941056904540643
22-23,off_ball_pressure_share,-0.345364922701499
22-23,xt,0.5892254366001357
22-23,passes_into_box,0.638276971545443
22-23,shots_per_1_0_xt,-0.0037283737685788266
22-23,avg_pass_height,0.46562244352104154
22-23,crosses,0.37582543362252574
22-23,set_piece_xg,0.34609498403274674
22-23,corners,0.48321327579004225
22-23,throw_ins_into_box,0.005264637735730583
22-23,is_home,0.28184425263440366
23-24,possession,0.4852762609771831
23-24,field_tilt,0.5679154873587915
23-24,game_control_share,0.7136734526369298
23-24,ppda_inv,0.3948179174899398
23-24,high_recoveries,0.3605965916286366
23-24,on_ball_pressure_share,0.665503352410949
23-24,off_ball_pressure_share,-0.37040967571623484
23-24,xt,0.5999415838979403
23-24,passes_into_box,0.6181326047803333
23-24,shots_per_1_0_xt,-0.09847651662702812
23-24,avg_pass_height,0.43615262963264384
23-24,crosses,0.3559067210594505
23-24,set_piece_xg,0.3189116292323318
23-24,corners,0.419935406729823
23-24,throw_ins_into_box,-0.033907349153912046
23-24,is_home,0.30679280530755143
24-25,possession,0.37191242830816956
24-25,field_tilt,0.45480485290610645
24-25,game_control_share,0.7075321235690003
24-25,ppda_inv,0.2894738804237472
24-25,high_recoveries,0.24088863540876496
24-25,on_ball_pressure_share,0.5827043680146773
24-25,off_ball_pressure_share,-0.23174452435561965
24-25,xt,0.5546052302546642
24-25,passes_into_box,0.546497504388843
24-25,shots_per_1_0_xt,-0.07047135508436227
24-25,avg_pass_height,0.3673486891553322
24-25,crosses,0.2849263267075022
24-25,set_piece_xg,0.2786058847888138
24-25,corners,0.3507419682327424
24-25,throw_ins_into_box,-0.04762569277016906
24-25,is_home,0.15230502868338586
