season,target,feature,perm_mean,perm_std,n_rows
21-22,xgd,possession,-0.0018727244702417378,0.0014214355874028457,760
21-22,xgd,field_tilt,-0.5333528361227564,0.029999447125326845,760
21-22,xgd,game_control_share,-0.49838156293070796,0.01902842045927221,760
21-22,xgd,ppda_inv,-0.02542914826084529,0.004885709912374345,760
21-22,xgd,high_recoveries,-0.0012232379789788661,0.0010023303637793635,760
21-22,xgd,on_ball_pressure_share,-0.49293545768147107,0.0199118193308848,760
21-22,xgd,off_ball_pressure_share,-0.08439313367135018,0.009035925281881033,760
21-22,xgd,xt,-0.08320129550154143,0.009023202961758056,760
21-22,xgd,passes_into_box,-0.030697647944696226,0.006112174447845375,760
21-22,xgd,shots_per_1_0_xt,-0.014013203769618489,0.0032035716707675774,760
21-22,xgd,avg_pass_height,-0.0056430189473952504,0.0016655503440811477,760
21-22,xgd,crosses,-0.023995428450657278,0.00423040392256548,760
21-22,xgd,set_piece_xg,-0.01902292835359062,0.004700158013075903,760
21-22,xgd,corners,-0.0012512566678055848,0.0011035243155397472,760
21-22,xgd,throw_ins_into_box,-0.0017183175426903308,0.0008686537242064479,760
21-22,xgd,is_home,-0.006350439049497809,0.002686758195692298,760
22-23,xgd,possession,-0.004226174175202111,0.002651373494914026,760
22-23,xgd,field_tilt,-0.7298134464120304,0.024871138111451967,760
22-23,xgd,game_control_share,-0.3293861150092259,0.01957286990628337,760
22-23,xgd,ppda_inv,-0.010546384516877479,0.0027339934765195266,760
22-23,xgd,high_recoveries,8.953709044265955e-06,1.5080590789202652e-05,760
22-23,xgd,on_ball_pressure_share,-0.8913928224204452,0.03457731785000039,760
22-23,xgd,off_ball_pressure_share,-0.010520224114109862,0.004500504424486541,760
22-23,xgd,xt,-0.07337857332939611,0.008405937785975117,760
22-23,xgd,passes_into_box,-0.006879132251523768,0.002356680941607868,760
22-23,xgd,shots_per_1_0_xt,-0.0002178337026179955,0.0006845817388010911,760
22-23,xgd,avg_pass_height,-0.029831327785292783,0.004349578236567986,760
22-23,xgd,crosses,-0.0141476492457688,0.0034710591506707,760
22-23,xgd,set_piece_xg,-0.007674334093020461,0.0032542418453234243,760
22-23,xgd,corners,-0.014159533005830158,0.004409519882435534,760
22-23,xgd,throw_ins_into_box,-0.00628190416772258,0.003333521922005102,760
22-23,xgd,is_home,-0.0137434683516872,0.004640605471439452,760
23-24,xgd,possession,-0.02250682807505762,0.006207197596165978,760
23-24,xgd,field_tilt,-0.8433049925669246,0.032972831624610247,760
23-24,xgd,game_control_share,-0.6093200930391663,0.026480795558852625,760
23-24,xgd,ppda_inv,-0.015447201040795893,0.004877261396930251,760
23-24,xgd,high_recoveries,-0.0027498564100697422,0.0027019923250116915,760
23-24,xgd,on_ball_pressure_share,-0.6603106423406726,0.03443429832486371,760
23-24,xgd,off_ball_pressure_share,-0.07980144305849125,0.011688935525656348,760
23-24,xgd,xt,-0.15136698803912588,0.011213120161811162,760
23-24,xgd,passes_into_box,-4.523356455309102e-05,0.0001351205909207713,760
23-24,xgd,shots_per_1_0_xt,-0.0026643534377700064,0.0014345315891966185,760
23-24,xgd,avg_pass_height,-0.024965595769551232,0.005485883365268147,760
23-24,xgd,crosses,-0.024294351269370792,0.004936038197711231,760
23-24,xgd,set_piece_xg,-0.029958435591918287,0.004236346190046408,760
23-24,xgd,corners,-0.000327215188051162,0.0004812560328470146,760
23-24,xgd,throw_ins_into_box,-0.012515748263869147,0.004664328076261166,760
23-24,xgd,is_home,-0.026137699006016236,0.005374508958792302,760
24-25,xgd,possession,-0.005373855154914464,0.0033450762555418414,760
24-25,xgd,field_tilt,-0.5805504329808653,0.026306428126926257,760
24-25,xgd,game_control_share,-0.6846126214827519,0.025748084023648025,760
24-25,xgd,ppda_inv,-0.004105200668429219,0.004019836242105444,760
24-25,xgd,high_recoveries,-0.0008324078505892274,0.0005066071494439046,760
24-25,xgd,on_ball_pressure_share,-0.179842991385392,0.012022759442448442,760
24-25,xgd,off_ball_pressure_share,-0.06825359767523635,0.008342471886221321,760
24-25,xgd,xt,-0.1005937469445001,0.011763595527328266,760
24-25,xgd,passes_into_box,-0.004280051215858522,0.0042064756659417855,760
24-25,xgd,shots_per_1_0_xt,-0.002786521381337956,0.002340796123973875,760
24-25,xgd,avg_pass_height,-0.010857051176191321,0.002929117831309918,760
24-25,xgd,crosses,-0.0261545847038985,0.00575292581598293,760
24-25,xgd,set_piece_xg,-0.020419465641033793,0.006459545607758825,760
24-25,xgd,corners,0.0007924113457653314,0.002136068239500545,760
24-25,xgd,throw_ins_into_box,-0.00016247193308828844,0.001791913760475879,760
24-25,xgd,is_home,-1.480445807108488e-05,0.000992994387919049,760
