feature,mean,std,min,max
high_recoveries,-0.0011991371326483926,0.0011545973289797248,-0.0027498564100697422,8.953709044265955e-06
corners,-0.0037363983789803932,0.006998816860163373,-0.014159533005830158,0.0007924113457653314
shots_per_1_0_xt,-0.004920478072836112,0.0061762014809485346,-0.014013203769618489,-0.0002178337026179955
throw_ins_into_box,-0.005169610476842587,0.005543338252786857,-0.012515748263869147,-0.00016247193308828844
possession,-0.008494895468853984,0.009454280833212828,-0.02250682807505762,-0.0018727244702417378
passes_into_box,-0.010475516244157901,0.013772474626705455,-0.030697647944696226,-4.523356455309102e-05
is_home,-0.011561602716318084,0.011220634228604618,-0.026137699006016236,-1.480445807108488e-05
ppda_inv,-0.01388198362173697,0.008990710447938794,-0.02542914826084529,-0.004105200668429219
avg_pass_height,-0.017824248419607648,0.011432307812361889,-0.029831327785292783,-0.0056430189473952504
set_piece_xg,-0.01926879091989079,0.009130250690967746,-0.029958435591918287,-0.007674334093020461
crosses,-0.02214800341742384,0.005418429933477718,-0.0261545847038985,-0.0141476492457688
off_ball_pressure_share,-0.06074209962979692,0.03416279343753685,-0.08439313367135018,-0.010520224114109862
xt,-0.10213515095364087,0.03469669219618945,-0.15136698803912588,-0.07337857332939611
game_control_share,-0.530425098115463,0.1543175011263855,-0.6846126214827519,-0.3293861150092259
on_ball_pressure_share,-0.5561204784569952,0.29935498938227023,-0.8913928224204452,-0.179842991385392
field_tilt,-0.6717554270206442,0.14174344800826166,-0.8433049925669246,-0.5333528361227564
