feature,mean,std,min,max,abs_mean
field_tilt,-0.9768783734736268,0.1936632333447256,-1.1547204912831601,-0.8060607440959549,0.9768783734736268
game_control_share,0.8840205546309408,0.1964649372079767,0.6362244778660839,1.0788489981520113,0.8840205546309408
on_ball_pressure_share,0.8721987904703724,0.3523596835984157,0.43865948159521356,1.2753815116346119,0.8721987904703724
xt,0.3537128530791638,0.08294724001416216,0.28451210181321923,0.45694325775814926,0.3537128530791638
off_ball_pressure_share,-0.2465134007157188,0.09464535681150742,-0.3024894991399592,-0.1048954264345037,0.2465134007157188
crosses,-0.14874864965943738,0.027815903952864308,-0.1735835459145307,-0.1101700813183599,0.14874864965943738
set_piece_xg,0.14301376685742467,0.046285766922871986,0.0864097526788196,0.18556896866191064,0.14301376685742467
avg_pass_height,-0.136095713372346,0.05528783188198082,-0.18987509849014253,-0.06497687207187738,0.136095713372346
ppda_inv,0.12312646423496643,0.031558542127452856,0.09189397912983994,0.16663046332628573,0.12312646423496643
passes_into_box,0.09649003325127126,0.07012975783366843,0.009173311419635547,0.1756980907833865,0.09649003325127126
is_home,0.09366367176476159,0.053507884944719565,0.025541217484903584,0.14956258618704565,0.09366367176476159
possession,0.08272175737295626,0.04055864775205207,0.030939287237875295,0.12528111015812715,0.08272175737295626
throw_ins_into_box,0.07251655541328816,0.04985479686468688,0.022771656801185047,0.13222934003773681,0.07251655541328816
shots_per_1_0_xt,0.06695807881735177,0.04008999908892172,0.02405087270283487,0.1200486910116326,0.06695807881735177
corners,0.057349952257246484,0.04979852886316789,0.012316345756947214,0.12695549612231502,0.057349952257246484
high_recoveries,0.0192434826734447,0.037776294687173785,-0.01914481966029448,0.06809114893466842,0.0192434826734447
