season,team_name,cluster_label,points,xgd,possession,field_tilt,ppda,xt,passes_into_box,avg_pass_height,set_piece_xg
21-22,Norwich City,Low control + low threat,22,-1.3494736842105268,42.81315789473685,37.69868421052632,17.623421052631585,0.4673684210526316,9.4737,43.43657894736842,0.1155263157894736
21-22,Watford,Low control + low threat,23,-0.7810526315789474,40.66578947368421,40.829736842105255,17.70236842105263,0.530263157894737,8.8158,45.79026315789473,0.1457894736842105
21-22,Wolverhampton Wanderers,Low control + low threat,51,-0.7384210526315789,49.531578947368416,45.95526315789475,17.023421052631583,0.5189473684210526,9.0,44.72973684210526,0.1423684210526315
21-22,Burnley,Reactive / defensive + wide-direct,35,-0.6605263157894735,40.06052631578947,43.565,15.443684210526314,0.5857894736842106,10.7105,49.37842105263159,0.2523684210526316
21-22,Leicester City,Low control + low threat,52,-0.6384210526315792,51.99736842105264,46.185,14.942368421052633,0.6031578947368421,10.7105,44.84526315789473,0.1602631578947368
21-22,Leeds United,Balanced / mid-control,38,-0.6289473684210528,52.30526315789475,48.07710526315788,11.918947368421057,0.6373684210526316,10.9211,44.00026315789475,0.2157894736842105
21-22,Newcastle United,Low control + low threat,49,-0.4650000000000001,40.37105263157895,41.49552631578948,17.112368421052633,0.4776315789473684,10.0,46.55763157894737,0.2218421052631579
21-22,Southampton,Reactive / defensive + wide-direct,40,-0.4078947368421052,47.75263157894736,49.63894736842105,13.52631578947368,0.5615789473684213,11.3947,49.328947368421055,0.2663157894736841
21-22,Everton,Reactive / defensive + wide-direct,39,-0.3034210526315789,39.99473684210528,44.53026315789474,17.81157894736842,0.5831578947368421,10.5,48.43342105263157,0.1478947368421052
21-22,Aston Villa,Balanced / mid-control,45,-0.0963157894736841,46.46842105263158,48.85684210526315,13.526842105263157,0.6355263157894737,12.1842,47.02263157894737,0.1773684210526315
21-22,West Ham United,Reactive / defensive + wide-direct,56,-0.0878947368421052,47.94736842105263,48.56131578947368,18.22184210526316,0.6210526315789473,12.1842,48.39,0.2313157894736842
21-22,Brentford,Set-piece & throw-in focused,46,0.0442105263157894,44.77105263157896,42.18026315789474,15.5928947368421,0.7063157894736841,13.1053,44.94078947368421,0.2578947368421053
21-22,Manchester United,Balanced / mid-control,58,0.0628947368421052,52.65526315789472,52.60447368421052,16.343684210526316,0.681315789473684,12.9211,48.78026315789473,0.1692105263157894
21-22,Brighton & Hove Albion,Balanced / mid-control,51,0.0978947368421052,54.41052631578947,55.453421052631576,11.87342105263158,0.613421052631579,15.2105,48.090263157894746,0.2289473684210526
21-22,Crystal Palace,Balanced / mid-control,48,0.2407894736842105,51.11842105263158,46.36763157894739,12.949736842105269,0.6410526315789471,11.4474,43.83394736842106,0.176578947368421
21-22,Arsenal,Balanced / mid-control,69,0.4750000000000001,52.72105263157895,55.71947368421053,14.923684210526316,0.6623684210526317,14.0526,48.81605263157896,0.2728947368421052
21-22,Tottenham Hotspur,Balanced / mid-control,71,0.5007894736842106,51.80263157894737,47.91236842105264,15.23526315789474,0.8352631578947369,13.2105,46.96552631578949,0.2181578947368422
21-22,Chelsea,Dominant control + high press,74,0.9557894736842102,61.805263157894736,62.38473684210526,10.96921052631579,0.8192105263157897,17.1579,49.32236842105263,0.2489473684210527
21-22,Liverpool,Dominant control + high press,92,1.7499999999999996,62.81315789473685,67.41894736842107,11.849473684210528,1.0955263157894737,21.0789,50.48894736842106,0.3915789473684209
21-22,Manchester City,Dominant control + high press,93,2.03,67.99473684210528,74.56500000000001,11.093684210526316,1.0034210526315783,21.6053,52.6178947368421,0.3821052631578947
22-23,Nottingham Forest,Low control + low threat,38,-0.7755263157894735,37.63157894736841,35.63605263157895,18.16526315789473,0.4510526315789473,8.4474,43.806842105263165,0.13
22-23,Wolverhampton Wanderers,Low control + low threat,41,-0.769736842105263,49.95526315789475,45.92657894736843,13.494473684210526,0.5126315789473683,9.7368,44.77,0.1471052631578947
22-23,Southampton,Low control + low threat,25,-0.7634210526315789,44.61842105263159,44.71394736842105,14.453157894736842,0.5478947368421051,11.2368,46.64921052631578,0.1926315789473684
22-23,AFC Bournemouth,Low control + low threat,39,-0.733684210526316,40.4,36.76868421052631,17.94736842105263,0.6273684210526316,10.2105,44.37394736842105,0.2631578947368421
22-23,Everton,Reactive / defensive + wide-direct,36,-0.5792105263157894,42.70789473684211,44.47815789473684,15.20105263157895,0.5534210526315789,10.7895,46.91578947368421,0.2899999999999999
22-23,Fulham,Balanced / mid-control,52,-0.5489473684210529,48.74473684210526,50.07052631578947,13.685263157894738,0.5568421052631579,12.0,46.7171052631579,0.17
22-23,Leicester City,Low control + low threat,34,-0.5473684210526315,47.72894736842105,44.39236842105264,15.209473684210524,0.5523684210526316,9.5789,44.77842105263159,0.1689473684210526
22-23,Leeds United,Balanced / mid-control,31,-0.5228947368421053,47.02631578947369,49.88342105263158,12.864210526315787,0.6778947368421053,11.7895,47.831315789473685,0.2928947368421052
22-23,Crystal Palace,Low control + low threat,45,-0.2613157894736843,46.336842105263166,46.21052631578949,13.815263157894735,0.496578947368421,10.6053,45.70973684210527,0.1784210526315789
22-23,Aston Villa,Low control + low threat,61,-0.1139473684210525,49.32105263157896,47.91315789473684,13.200526315789476,0.646842105263158,10.9737,44.50315789473683,0.1528947368421052
22-23,West Ham United,Reactive / defensive + wide-direct,40,-0.0744736842105263,42.05,42.79552631578947,18.28394736842105,0.5907894736842105,10.1053,47.54184210526316,0.2926315789473684
22-23,Brentford,Set-piece & throw-in focused,59,-0.0084210526315789,43.71578947368421,43.73394736842105,14.36421052631579,0.6594736842105264,13.1053,46.2692105263158,0.2573684210526316
22-23,Chelsea,Balanced / mid-control,44,0.1213157894736842,58.66578947368421,56.49552631578948,10.87,0.7426315789473684,14.4211,47.615,0.2081578947368421
22-23,Tottenham Hotspur,Balanced / mid-control,60,0.1742105263157894,49.96315789473683,43.87526315789472,14.601578947368422,0.726842105263158,12.7105,44.95499999999999,0.2307894736842105
22-23,Manchester United,Balanced / mid-control,75,0.5071052631578947,53.734210526315785,54.19894736842107,13.49184210526316,0.7876315789473683,15.6842,47.87263157894736,0.196578947368421
22-23,Brighton & Hove Albion,Dominant control + high press,62,0.7263157894736842,60.20000000000002,61.84973684210527,10.644999999999996,0.9071052631578944,16.2895,47.86236842105264,0.256842105263158
22-23,Liverpool,Dominant control + high press,67,0.8742105263157894,60.7578947368421,61.27263157894737,11.769473684210526,1.045,19.4211,47.91105263157896,0.3173684210526315
22-23,Newcastle United,Dominant control + high press,71,0.9457894736842104,52.292105263157886,56.11578947368421,11.808421052631578,0.8618421052631581,17.8684,49.00236842105264,0.3828947368421054
22-23,Arsenal,Dominant control + high press,84,1.0173684210526313,59.34999999999998,64.325,10.915789473684208,0.9068421052631576,19.0263,51.32815789473684,0.2839473684210527
22-23,Manchester City,Dominant control + high press,89,1.3326315789473686,64.8,69.34421052631578,12.044473684210528,0.8394736842105264,19.2105,50.14421052631578,0.2942105263157895
23-24,Sheffield United,Low control + low threat,16,-1.3331578947368423,35.78421052631578,35.49026315789474,21.957368421052628,0.4749999999999999,9.2632,44.65263157894737,0.1752631578947368
23-24,Luton Town,Reactive / defensive + wide-direct,26,-1.1244736842105263,42.32368421052632,43.37868421052632,14.469210526315791,0.5968421052631578,11.2105,47.17499999999999,0.276578947368421
23-24,Burnley,Low control + low threat,24,-0.9542105263157894,47.43157894736842,47.49894736842106,15.194473684210529,0.4789473684210526,10.8158,45.63684210526316,0.1826315789473684
23-24,Wolverhampton Wanderers,Low control + low threat,46,-0.7613157894736841,48.81842105263157,42.211842105263145,13.66026315789474,0.4926315789473685,10.6579,44.59736842105263,0.2181578947368421
23-24,West Ham United,Set-piece & throw-in focused,52,-0.6036842105263159,41.07368421052632,39.97552631578947,17.465,0.5723684210526315,10.4474,46.3636842105263,0.3273684210526315
23-24,Manchester United,Balanced / mid-control,60,-0.41,50.50526315789474,48.882631578947375,14.698421052631575,0.6810526315789474,13.8158,47.00842105263157,0.2244736842105263
23-24,Fulham,Balanced / mid-control,47,-0.3423684210526316,50.705263157894734,49.56815789473684,14.983947368421047,0.6786842105263158,14.2368,45.51947368421053,0.2644736842105263
23-24,Everton,Reactive / defensive + wide-direct,48,-0.1539473684210526,40.77105263157894,46.78710526315789,15.928947368421058,0.6794736842105265,12.1053,47.666578947368414,0.3823684210526316
23-24,Nottingham Forest,Low control + low threat,36,-0.1257894736842106,40.49736842105264,39.95763157894737,18.850263157894734,0.5884210526315791,11.3158,46.76736842105263,0.2276315789473685
23-24,AFC Bournemouth,Balanced / mid-control,48,-0.1228947368421052,44.37105263157895,47.06473684210527,12.335263157894737,0.7452631578947368,14.5263,48.05894736842104,0.3236842105263157
23-24,Crystal Palace,Low control + low threat,49,-0.0305263157894736,42.26052631578946,43.18605263157895,14.923684210526313,0.6460526315789475,11.5263,46.95105263157895,0.2076315789473684
23-24,Brighton & Hove Albion,Balanced / mid-control,48,0.0421052631578947,59.88157894736843,56.54473684210528,11.451578947368418,0.8126315789473683,16.4737,45.6692105263158,0.2310526315789473
23-24,Brentford,Set-piece & throw-in focused,39,0.0502631578947368,45.12105263157895,41.41342105263158,13.270789473684207,0.8194736842105264,15.0,45.78447368421054,0.2047368421052632
23-24,Tottenham Hotspur,Dominant control + high press,66,0.2592105263157894,61.68421052631578,60.70605263157895,9.17342105263158,0.9710526315789476,18.9737,49.01421052631578,0.2021052631578947
23-24,Aston Villa,Balanced / mid-control,68,0.334736842105263,53.29210526315791,51.79078947368421,14.116842105263157,0.7405263157894736,15.5526,45.07657894736843,0.2539473684210526
23-24,Newcastle United,Balanced / mid-control,60,0.4997368421052631,52.205263157894734,50.965526315789496,12.471052631578948,0.8260526315789471,16.0789,46.607894736842105,0.2247368421052631
23-24,Chelsea,Balanced / mid-control,63,0.5134210526315787,58.62105263157896,52.94710526315789,10.93315789473684,0.8118421052631578,14.4211,45.73842105263158,0.193157894736842
23-24,Liverpool,Dominant control + high press,82,1.323421052631579,61.32105263157893,63.44657894736844,10.108684210526317,1.0889473684210524,21.9474,49.56947368421052,0.3681578947368422
23-24,Manchester City,Dominant control + high press,91,1.4289473684210527,65.19473684210527,73.07894736842103,12.008947368421053,0.958421052631579,20.5,52.61842105263159,0.2984210526315789
23-24,Arsenal,Dominant control + high press,89,1.5105263157894742,58.13684210526314,65.10526315789474,11.39315789473684,0.9684210526315788,23.3421,51.40157894736843,0.3942105263157895
24-25,Southampton,Low control + low threat,12,-1.6707894736842104,48.589473684210525,42.83894736842105,13.811842105263151,0.4276315789473684,9.6842,45.27105263157893,0.1857894736842104
24-25,Leicester City,Low control + low threat,25,-1.39078947368421,45.436842105263146,39.82736842105263,15.089999999999998,0.4710526315789475,9.5,44.36684210526316,0.1202631578947368
24-25,Ipswich Town,Low control + low threat,22,-1.3571052631578946,40.51315789473684,38.44736842105264,16.24078947368421,0.4126315789473684,8.5526,43.77526315789473,0.1694736842105263
24-25,West Ham United,Low control + low threat,43,-0.3844736842105262,48.42105263157894,43.44868421052632,13.856052631578947,0.5963157894736844,11.6842,45.42368421052631,0.1836842105263158
24-25,Wolverhampton Wanderers,Low control + low threat,42,-0.3078947368421052,48.1578947368421,44.36052631578948,12.60921052631579,0.5573684210526316,10.5789,45.805526315789486,0.2071052631578947
24-25,Everton,Reactive / defensive + wide-direct,48,-0.2921052631578947,40.8921052631579,44.60394736842104,15.277368421052634,0.6360526315789473,11.5,47.12131578947367,0.2173684210526315
24-25,Nottingham Forest,Reactive / defensive + wide-direct,65,-0.2592105263157894,41.11315789473685,43.07263157894737,14.877368421052632,0.5710526315789474,10.8684,50.20315789473684,0.2294736842105263
24-25,Brentford,Set-piece & throw-in focused,56,-0.0639473684210526,47.79210526315789,44.61710526315789,13.91473684210526,0.7318421052631578,14.3947,45.34578947368421,0.1984210526315789
24-25,Tottenham Hotspur,Balanced / mid-control,38,-0.0634210526315789,54.77894736842105,52.26631578947367,10.725263157894735,0.7394736842105262,14.3421,47.106578947368426,0.2605263157894737
24-25,Manchester United,Balanced / mid-control,42,0.0947368421052631,53.49736842105264,51.40947368421055,11.91157894736842,0.605,13.7895,46.37157894736842,0.2336842105263157
24-25,Aston Villa,Balanced / mid-control,66,0.1292105263157894,50.634210526315805,48.97578947368421,12.283684210526316,0.6647368421052632,13.6842,46.48894736842106,0.2594736842105262
24-25,Fulham,Balanced / mid-control,54,0.1871052631578948,52.24210526315791,53.64026315789474,13.896052631578945,0.7523684210526314,14.2368,47.6692105263158,0.1992105263157894
24-25,Brighton & Hove Albion,Balanced / mid-control,61,0.2318421052631578,52.43421052631579,56.20578947368421,11.555,0.7310526315789473,15.3421,47.36815789473683,0.155
24-25,AFC Bournemouth,Balanced / mid-control,56,0.3723684210526315,48.4921052631579,52.47315789473684,10.587105263157897,0.7852631578947368,14.6053,50.4513157894737,0.2328947368421053
24-25,Crystal Palace,Reactive / defensive + wide-direct,53,0.3992105263157895,42.68421052631579,42.27526315789473,15.580263157894736,0.711578947368421,12.0263,45.51052631578949,0.3557894736842105
24-25,Newcastle United,Balanced / mid-control,66,0.5618421052631578,51.30263157894736,50.61763157894736,12.189210526315792,0.8528947368421052,16.2895,48.428157894736856,0.2526315789473684
24-25,Chelsea,Balanced / mid-control,69,0.6452631578947368,56.97631578947368,59.76736842105264,11.286315789473685,0.7592105263157897,14.9737,48.19736842105262,0.2110526315789473
24-25,Manchester City,Dominant control + high press,71,0.6815789473684211,61.38947368421052,68.82736842105263,12.898947368421052,0.7639473684210527,18.6316,53.32552631578948,0.283157894736842
24-25,Arsenal,Dominant control + high press,74,0.9968421052631578,56.852631578947374,61.40894736842104,10.84684210526316,0.734736842105263,18.6053,51.617105263157896,0.4871052631578947
24-25,Liverpool,Dominant control + high press,84,1.4897368421052637,57.79999999999999,60.91605263157896,11.300263157894738,0.9818421052631576,18.3684,49.330789473684206,0.2607894736842105
